company_id,year,filename,pdf_sha256,pdf_page,printed_page,crop_path,modality,pattern_type,resolution_mode,annotation_status
PING_AN,2023,中国平安2023年报.pdf,f55538814200d77a61492ba216e45508f487064207bca6a4d90c7b55add43823,145,141,evidence/page_crops/ping_an_2023_p145_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_STANDARD,EXPLICIT_PARENT,CERTIFIED_GOLDEN
PING_AN,2024,中国平安2024年报.pdf,6ffff1cade59c64c8178494c083cac8a4011ef5ae2fed32f85dd488a64a809b2,155,151,evidence/page_crops/ping_an_2024_p155_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_STANDARD,EXPLICIT_PARENT,CERTIFIED_GOLDEN
PING_AN,2025,中国平安2025年报.pdf,860c455bbad9be59d3d1bf64bf683733feb79157212532df44b91d49a0b03c2a,187,183,evidence/page_crops/ping_an_2025_p187_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_STANDARD,EXPLICIT_PARENT,CERTIFIED_GOLDEN
NEW_CHINA_LIFE,2023,新华保险2023年报.pdf,046dbb6f39ab859f8c6c7beabf06010abf775a860964b24ab076f8053b1365b0,109,107,evidence/page_crops/new_china_life_2023_p109_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_MULTI_NOTE,EXPLICIT_PARENT,CERTIFIED_GOLDEN
NEW_CHINA_LIFE,2024,新华保险2024年报.pdf,a983bd987c15ab982d9fbbce29255afff4bc90ca6ba5f15334d0784a8de1c7f0,117,115,evidence/page_crops/new_china_life_2024_p117_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_MULTI_NOTE,EXPLICIT_PARENT,CERTIFIED_GOLDEN
NEW_CHINA_LIFE,2025,新华保险2025年报.pdf,4a5d6ee54dc0a351acac6d9d3ce1d0eee6d4a388c4c36c1668a35d5ffd35c528,121,120,evidence/page_crops/new_china_life_2025_p121_crop.png,TEXT_DOMINANT_OR_HYBRID,EXPLICIT_PARENT_MULTI_NOTE,EXPLICIT_PARENT,CERTIFIED_GOLDEN
CPIC,2023,中国太保2023年报.pdf,9440391625bd78bcb76250d915a459c5807b686545b8b4542ec68a4c3718e65f,74,72,evidence/page_crops/cpic_2023_p74_crop.png,IMAGE_DOMINANT_OR_LOW_TEXT,IMAGE_DOMINANT_EXPLICIT_PARENT,EXPLICIT_PARENT,CERTIFIED_GOLDEN
CPIC,2024,中国太保2024年报.pdf,76de908ba1e2d4e558a52d27138c3178767b9115d38c47b3ab9cf6cab145086b,73,71,evidence/page_crops/cpic_2024_p73_crop.png,IMAGE_DOMINANT_OR_LOW_TEXT,IMAGE_DOMINANT_EXPLICIT_PARENT,EXPLICIT_PARENT,CERTIFIED_GOLDEN
CPIC,2025,中国太保2025年报.pdf,0cf458e4f3705b6ce1453cf88a12ecf48454089e920aed451603a06f24db6803,74,72,evidence/page_crops/cpic_2025_p74_crop.png,IMAGE_DOMINANT_OR_LOW_TEXT,IMAGE_DOMINANT_EXPLICIT_PARENT,EXPLICIT_PARENT,CERTIFIED_GOLDEN
CHINA_LIFE,2023,中国人寿2023年年度报告.pdf,5ea1048c3a9323b37b1ad2e870da0fb54d9cfacdfba159aad4b9bec070edc18a,104,102,evidence/page_crops/china_life_2023_p104_crop.png,TEXT_DOMINANT_OR_HYBRID,IMAGE_BASED_IMPLICIT_MEMBER_SET_SCATTERED,IMPLICIT_MEMBER_SET,CERTIFIED_GOLDEN
CHINA_LIFE,2024,中国人寿2024年年度报告.pdf,3cc6db9bbd9c3c754548b6be288bcebae7187e5264eba59025237f5aa8c667e0,96,94,evidence/page_crops/china_life_2024_p96_crop.png,TEXT_DOMINANT_OR_HYBRID,IMAGE_BASED_IMPLICIT_MEMBER_SET_SCATTERED,IMPLICIT_MEMBER_SET,CERTIFIED_GOLDEN
CHINA_LIFE,2025,中国人寿2025年年度报告.pdf,575a833fd7b83ad3568483273645236eddb751a92ab89f7e1c09105d92cedb27,89,87,evidence/page_crops/china_life_2025_p89_crop.png,TEXT_DOMINANT_OR_HYBRID,IMAGE_BASED_IMPLICIT_MEMBER_SET_SCATTERED,IMPLICIT_MEMBER_SET,CERTIFIED_GOLDEN
